vote_id,selected_tweet_id_str,voted_at,matchup_id
38,1149028915899330560,2023-12-24 19:07:42.031149,626aa755-5986-4e3c-a7e2-e0f892f4ce6c
39,722565868719177729,2023-12-24 19:10:42.319193,df095b3e-29f6-497f-b30c-c67824ad46c0
40,1080940452600258560,2023-12-24 19:10:53.190434,c0654984-5936-4838-b8a6-e03901984a6f
41,942797795366506496,2023-12-24 19:11:01.559117,e5d24259-35ff-4f51-a451-59a73c12796a
42,1222671784635518976,2023-12-24 19:11:12.349948,a583021d-34d9-410a-849b-8749407c4d45
43,763733803500236800,2023-12-24 19:11:19.001222,e5a13637-8f2b-4a22-8370-2ff908b5997d
44,676423039513329664,2023-12-24 20:12:00.594535,f443f21b-6fb9-4a9f-b6d1-e4e9fb06c9bf
45,990930728098689024,2023-12-24 20:56:40.077207,6a9b4749-082d-4251-b225-d5cb1615be85
46,1088618347208560640,2023-12-24 21:29:56.667406,4ade2289-e871-4766-a963-551c63b1b027
47,1152074356593266690,2023-12-24 21:34:27.962357,a8151350-1742-4958-96fd-ff46a09c1869
48,1628815776168673281,2023-12-24 21:34:35.520343,34629393-6b6c-4e0e-a253-fc591391c55a
49,597938447601377281,2023-12-24 21:34:39.095232,9c934f36-4a92-4d2d-a195-9835d778245f
50,308104521538740224,2023-12-24 21:34:43.250076,dd14f615-21a0-4631-9df5-7d928f4cee7e
51,1143594317954670592,2023-12-24 21:35:11.781459,a4ed74d6-26e8-419d-b1f1-45d95f223448
52,1067479527704666113,2023-12-24 21:35:41.267761,62249277-622d-4442-9d7f-da2f5792505f
53,1095375848134270977,2023-12-24 21:36:07.797026,749e2582-c4e7-40d8-b04a-93ee0174d44e
54,1300456741491167232,2023-12-24 21:36:39.293125,97b53ffc-e9c0-4bfe-be49-f741db7c7b1d
55,1430954697003839495,2023-12-24 21:39:18.627471,0f70be07-389e-4bfa-810a-27523b2ad4ff
56,258640349872926720,2023-12-24 21:39:21.225167,19a7cd89-f131-449c-9abd-b290c10cf22d
57,103195046920204288,2023-12-24 21:39:23.104238,fcf9167e-162a-4e1b-8766-780fdda29811
58,903040773985316864,2023-12-24 21:39:27.95296,0d2284a4-4fd9-4f7e-b6f5-1a36568ddca9
59,1454106606853976064,2023-12-24 21:39:32.248259,6b1e44c6-c6b5-421c-bb24-7bbd99094a18
60,922988023817543680,2023-12-24 21:40:34.407414,94c954da-ab06-4e85-9b94-d4f848bfd77b
61,1291814278601768961,2023-12-24 21:40:47.19882,b87d4c08-8af9-4e5c-a0d9-56722f80e0f7
63,598204691374280704,2023-12-24 21:40:50.098588,069d1f61-cf38-415c-9417-77d644f7390e
64,980034600666767360,2023-12-24 21:41:15.107853,ff276e78-93f0-430e-8a61-c152b5993ba5
66,842486671849459712,2023-12-24 21:41:19.457678,4df33b8b-e8fc-41fd-81ff-619faabe00fc
67,1248238519551754240,2023-12-24 21:41:36.218845,c4a79aec-0831-4283-b079-0f403ceb32f4
69,1543400860524466181,2023-12-24 21:41:38.642995,5ed927b0-e1d8-42e8-bdc7-25b2c6ba07ef
70,823942113838542848,2023-12-24 21:41:52.78715,00a059d6-30c2-46fb-be70-0f26369e011e
71,687762219484884993,2023-12-24 21:44:14.386744,a5763040-2d27-4217-816b-a3efa3e453ba
72,1207481625480708098,2023-12-24 21:44:28.643018,14927afb-6e86-4813-b5f2-c7e5892091ae
73,1582860248305455104,2023-12-24 21:48:42.112945,4a8fe172-9c1b-47a2-8913-2721b08ba5fe
74,842089429359505408,2023-12-24 21:55:32.172504,9d8fa214-671d-4423-92f5-4f3cf43a7892
75,1354607297994092544,2023-12-24 21:57:22.838575,1e25945e-f40f-4ff8-b4d0-800a99c141df
99,980034600666767360,2023-12-24 23:18:40.273078,b8c7de3c-25a1-4a46-b626-5aa83c049799
100,1571229671685238784,2023-12-24 23:18:44.017207,5e370254-bbd9-4d5f-bdb2-9999803b084b
101,1386205749668323331,2023-12-25 00:16:40.629715,4c289d58-774d-40dd-bde8-2376b4e49614
102,976662154479742976,2023-12-25 00:17:52.192818,64ccae85-44ec-4bb1-a599-d78181c5d384
103,1510698419089772555,2023-12-25 00:18:44.005305,17430c77-c085-4f58-a944-4073c1c0c020
104,540422155264335872,2023-12-25 00:19:06.143493,b958d0e8-4b54-4da9-97f3-83d4dc980102
105,670963270317154304,2023-12-25 00:19:58.641318,fd9197ab-7e6b-42ef-b2e7-c768e799e5d9
106,1633638148977704962,2023-12-25 00:21:29.518483,c6f10b4f-ba0b-42d5-8a0f-571c16eb0026
107,1033010780352929792,2023-12-25 00:21:38.791057,638864bb-a390-442f-b9e9-a6418ebe1d5f
108,1352319386007330817,2023-12-25 00:23:01.224664,103732a5-1735-40cf-b2ce-899494ea09cb
109,1240089341864493057,2023-12-25 00:23:03.168041,211b6e37-e022-494c-ba65-5a3bba6b37df
110,613118181109035009,2023-12-25 00:23:09.453965,1f0ad097-2fb6-4ce6-ac60-2faf8b6c099d
111,908734944389758976,2023-12-25 00:23:16.941744,155d83e3-9c43-44b0-a9f4-b7f762ad3243
112,1006298676950654986,2023-12-25 00:23:20.498657,54f5ce14-f4d1-4022-b350-d0f43abafa94
113,663335941210292224,2023-12-25 00:25:08.372098,ac022113-bee5-4327-98fd-946c666fc09d
114,1219010655677812737,2023-12-25 00:25:12.690069,d8bf9e3c-0152-4b9b-b26f-89549d41a6aa
115,929041541141794816,2023-12-25 00:25:20.568618,613e261e-53bb-4ccd-98b6-4c5c337a073c
116,516382177798680576,2023-12-25 00:29:46.3028,b4c97a0f-d08a-43e3-9019-b05682e34725
117,961680274303074304,2023-12-25 00:37:56.131592,dc5a8534-3792-4eba-8624-a1f1fe92bae7
118,1001824999496404992,2023-12-25 00:41:37.115041,b6ebcf19-fc12-4211-bfff-0cfe084802d1
119,1083061045420281856,2023-12-25 00:41:43.708037,aa9bfac6-a5bc-49c6-93f1-c68d6115ffe4
120,1309532915110260737,2023-12-25 00:41:54.886277,916ae6fe-e4ca-4d9b-a1bc-4cddab3a3085
121,817053630784294913,2023-12-25 00:42:40.818597,f0ed450a-c1c5-4e16-926d-4a743e33467f
122,1006256763014995973,2023-12-25 00:47:38.584054,b066d5d7-0149-45ad-8b26-0c8cb5cd4d82
123,603384079044759552,2023-12-25 00:50:49.078634,eab5c710-943b-4c8b-b754-defc1f4aa487
124,1031967172401225728,2023-12-25 01:01:41.84679,bcfe29d3-786f-4c90-a7c2-c33318d62f8c
125,1080665226410889217,2023-12-25 01:01:49.306278,191f1683-1a76-4fbd-a7dc-398a0b575129
